acc,batch_size,loss,model,optimizers,regularizator,val_acc,val_loss
0.7637627124786377,16.0,0.47903668880462646,vgg1,SGD,0.0,0.8032258152961731,0.4685177206993103
0.6525921821594238,16.0,0.6181662082672119,vgg1,AdaDelta,0.0,0.6516128778457642,0.6176498532295227
0.6969534754753113,16.0,0.5737142562866211,vgg1,AdaGrad,0.0,0.7112902998924255,0.5810126662254333
0.77920001745224,16.0,0.46583303809165955,vgg1,Adam,0.0,0.7677419185638428,0.5185197591781616
0.8560000061988831,16.0,0.32671260833740234,vgg2,SGD,0.0,0.8612903356552124,0.31870725750923157
0.6512560248374939,16.0,0.6165748834609985,vgg2,AdaDelta,0.0,0.67580646276474,0.6001864671707153
0.7295563817024231,16.0,0.5315234661102295,vgg2,AdaGrad,0.0,0.7467741966247559,0.49954402446746826
0.8471405506134033,16.0,0.3453972041606903,vgg2,Adam,0.0,0.8322580456733704,0.35426080226898193
0.8914666771888733,16.0,0.25482264161109924,vgg3,SGD,0.0,0.874193549156189,0.3157540261745453
0.6687999963760376,16.0,0.6116602420806885,vgg3,AdaDelta,0.0,0.6435483694076538,0.6269970536231995
0.7586851716041565,16.0,0.4938614070415497,vgg3,AdaGrad,0.0,0.8080645203590393,0.4507248103618622
0.8703901767730713,16.0,0.3032277226448059,vgg3,Adam,0.0,0.874193549156189,0.2836916446685791
0.7445216178894043,16.0,0.5148018598556519,lenet5,SGD,0.0,0.7806451320648193,0.49450141191482544
0.6138666868209839,16.0,0.6663552522659302,lenet5,AdaDelta,0.0,0.5935483574867249,0.6645820140838623
0.6674666404724121,16.0,0.612616240978241,lenet5,AdaGrad,0.0,0.603225827217102,0.6847633719444275
0.7621592879295349,16.0,0.4922751188278198,lenet5,Adam,0.0,0.7596774101257324,0.49250489473342896
